ICDO3.2	Level	Term
9012/0	Preferred	Pericanalicular fibroadenoma
9013/0	Preferred	Adenofibroma, NOS
9013/0	Related	Metanephric adenofibroma
9013/0	Synonym	Nephrogenic adenofibroma
9013/0	Related	Cystadenofibroma, NOS
9013/0	Related	Papillary adenofibroma
9014/0	Preferred	Serous adenofibroma, NOS
9014/0	Related	Serous cystadenofibroma, NOS
9014/0	Related	Seromucinous adenofibroma
9014/1	Preferred	Serous adenofibroma of borderline malignancy
9014/1	Related	Serous cystadenofibroma of borderline malignancy
9014/3	Preferred	Serous adenocarcinofibroma
9014/3	Synonym	Malignant serous adenofibroma
9014/3	Related	Serous cystadenocarcinofibroma
9014/3	Synonym	Malignant serous cystadenofibroma
9015/0	Preferred	Mucinous adenofibroma, NOS
9015/0	Related	Mucinous cystadenofibroma, NOS
9015/1	Preferred	Mucinous adenofibroma of borderline malignancy
9015/1	Related	Mucinous cystadenofibroma of borderline malignancy
9015/3	Preferred	Mucinous adenocarcinofibroma
9015/3	Synonym	Malignant mucinous adenofibroma
9015/3	Related	Mucinous cystadenocarcinofibroma
9015/3	Synonym	Malignant mucinous cystadenofibroma
9016/0	Preferred	Giant fibroadenoma
9020/0	Preferred	Phyllodes tumor, benign
9020/0	Synonym	Cystosarcoma phyllodes, benign
9020/1	Preferred	Phyllodes tumor, borderline
9020/1	Synonym	Cystosarcoma phyllodes, NOS
9020/1	Synonym	Phyllodes tumor, NOS
9020/3	Preferred	Phyllodes tumor, malignant
9020/3	Synonym	Cystosarcoma phyllodes, malignant
9020/3	Related	Periductal stromal tumor, low grade
9030/0	Preferred	Juvenile fibroadenoma
904	2	Synovial-like neoplasms
9040/0	Preferred	Synovioma, benign
9040/3	Preferred	Synovial sarcoma, NOS
9040/3	Synonym	Synovioma, NOS
9040/3	Synonym	Synovioma, malignant
9041/3	Preferred	Synovial sarcoma, spindle cell
9041/3	Synonym	Synovial sarcoma, monophasic fibrous
9042/3	Preferred	Synovial sarcoma, epithelioid cell
9043/3	Preferred	Synovial sarcoma, biphasic
9044/3	Preferred	Clear cell sarcoma, NOS (except of kidney M-8964/3)
9044/3	Related	Malignant melanoma of soft parts
9045/3	Preferred	Biphenotypic sinonasal sarcoma
905	2	Mesothelial neoplasms
9050/0	Preferred	Mesothelioma, benign
9050/3	Preferred	Mesothelioma, malignant
9050/3	Synonym	Mesothelioma, NOS
9051/0	Preferred	Fibrous mesothelioma, benign
9051/3	Preferred	Fibrous mesothelioma, malignant
9051/3	Synonym	Fibrous mesothelioma, NOS
9051/3	Synonym	Desmoplastic mesothelioma
9051/3	Synonym	Sarcomatoid mesothelioma
9051/3	Synonym	Spindled mesothelioma
9052/0	Preferred	Epithelioid mesothelioma, benign
9052/0	Related	Well differentiated papillary mesothelioma (except of pleura M-9052/1)
9052/0	Synonym	Mesothelial papilloma
9052/1	Preferred	Well differentiated papillary mesothelioma of pleura
9052/3	Preferred	Epithelioid mesothelioma, malignant
9052/3	Synonym	Epithelioid mesothelioma, NOS
9053/3	Preferred	Mesothelioma, biphasic, malignant
9053/3	Synonym	Mesothelioma, biphasic, NOS
9054/0	Preferred	Adenomatoid tumor, NOS
9055/0	Preferred	Peritoneal inclusion cysts
9055/0	Synonym	Cystic mesothelioma
9055/0	Synonym	Multicystic mesothelioma
906-909	2	Germ cell neoplasms
9060/3	Preferred	Dysgerminoma
9061/3	Preferred	Seminoma, NOS
9062/3	Preferred	Seminoma, anaplastic
9062/3	Synonym	Seminoma with high mitotic index
9063/3	Preferred	Spermatocytic seminoma
9063/3	Synonym	Spermatocytoma
9063/3	Synonym	Spermatocytic tumor
9064/2	Preferred	Intratubular malignant germ cells
9064/2	Synonym	Intratubular germ cell neoplasia
9064/2	Synonym	Germ cell neoplasia in situ
9064/3	Preferred	Germinoma
9064/3	Synonym	Germ cell tumor, NOS
9065/3	Preferred	Germ cell tumor, nonseminomatous
9070/3	Preferred	Embryonal carcinoma, NOS
9070/3	Synonym	Embryonal adenocarcinoma
9071/3	Preferred	Yolk sac tumor, NOS
9071/3	Synonym	Embryonal carcinoma, infantile
9071/3	Synonym	Yolk sac tumor, pre-pubertal type
9071/3	Synonym	Endodermal sinus tumor
9071/3	Synonym	Orchioblastoma
9071/3	Synonym	Polyvesicular vitelline tumor
9071/3	Related	Hepatoid yolk sac tumor
9071/3	Related	Yolk sac tumor, post-pubertal type
9072/3	Preferred	Polyembryoma
9072/3	Synonym	Embryonal carcinoma, polyembryonal type
9073/1	Preferred	Gonadoblastoma
9073/1	Synonym	Gonocytoma
9080/0	Preferred	Teratoma, benign
9080/0	Synonym	Adult teratoma, NOS
9080/0	Synonym	Cystic teratoma, NOS
9080/0	Synonym	Adult cystic teratoma
9080/0	Synonym	Mature teratoma, NOS
9080/0	Synonym	Teratoma, differentiated
9080/1	Preferred	Teratoma, NOS
9080/1	Synonym	Solid teratoma
9080/1	Related	Germ cell tumor, regressed
9080/1	Related	Immature teratoma of lung
9080/1	Related	Immature teratoma of thymus
9080/1	Related	Immature teratoma of thyroid
9080/3	Preferred	Teratoma, malignant, NOS
9080/3	Synonym	Embryonal teratoma
9080/3	Synonym	Teratoblastoma, malignant
9080/3	Related	Immature teratoma, malignant
9080/3	Synonym	Immature teratoma, NOS (except of lung, thymus or thyroid M-9080/1)
9081/3	Preferred	Teratocarcinoma
9081/3	Synonym	Mixed embryonal carcinoma and teratoma
9081/3	Related	Teratocarcinosarcoma
9082/3	Preferred	Malignant teratoma, undifferentiated
9082/3	Synonym	Malignant teratoma, anaplastic
9083/3	Preferred	Malignant teratoma, intermediate
9084/0	Preferred	Dermoid cyst, NOS
9084/0	Synonym	Dermoid, NOS
9084/0	Related	Teratoma, prepubertal type
9084/0	Synonym	Teratoma, mature, prepubertal type
9084/3	Preferred	Teratoma with malignant transformation
9084/3	Synonym	Teratoma with somatic type malignancies
9084/3	Synonym	Dermoid cyst with malignant transformation
9084/3	Synonym	Dermoid cyst with secondary tumor
9085/3	Preferred	Mixed germ cell tumor
9085/3	Related	Mixed teratoma and seminoma
9086/3	Preferred	Germ cell tumor with associated hematological malignancy
9090/0	Preferred	Struma ovarii, NOS
9090/3	Preferred	Struma ovarii, malignant
9091/1	Preferred	Strumal carcinoid
9091/1	Synonym	Struma ovarii and carcinoid
910	2	Trophoblastic neoplasms
9100/0	Preferred	Hydatidiform mole, NOS
9100/0	Synonym	Complete hydatidiform mole
9100/0	Synonym	Hydatid mole
9100/1	Preferred	Invasive hydatidiform mole
9100/1	Synonym	Invasive mole, NOS
9100/1	Synonym	Chorioadenoma, NOS
9100/1	Synonym	Chorioadenoma destruens
9100/1	Synonym	Malignant hydatidiform mole
9100/3	Preferred	Choriocarcinoma, NOS
9100/3	Synonym	Chorioepithelioma
9100/3	Synonym	Chorionepithelioma
9101/3	Preferred	Choriocarcinoma combined with other germ cell elements
9101/3	Synonym	Choriocarcinoma combined with embryonal carcinoma
9101/3	Synonym	Choriocarcinoma combined with teratoma
9102/3	Preferred	Malignant teratoma, trophoblastic
9103/0	Preferred	Partial hydatidiform mole
9104/1	Preferred	Placental site trophoblastic tumor
9105/3	Preferred	Trophoblastic tumor, epithelioid
911	2	Mesonephromas
9110/0	Preferred	Adenoma of rete ovarii
9110/0	Related	Mesonephroma, benign
9110/0	Synonym	Mesonephric adenoma
9110/0	Synonym	Wolffian duct adenoma
9110/1	Preferred	Wolffian tumor
9110/1	Synonym	Wolffian duct tumor
9110/1	Synonym	Mesonephric tumor
9110/3	Preferred	Mesonephroma, malignant
9110/3	Synonym	Mesonephroma, NOS
9110/3	Synonym	Mesonephric adenocarcinoma
9110/3	Synonym	Wolffian duct carcinoma
9110/3	Related	Adenocarcinoma of rete ovarii
912-916	2	Blood vessel tumors
9120/0	Preferred	Hemangioma, NOS
9120/0	Synonym	Angioma, NOS
9120/0	Synonym	Chorioangioma
9120/0	Related	Cherry hemangioma
9120/0	Related	Sinusoidal hemangioma
9120/0	Related	Microvenular hemangioma
9120/0	Related	Glomeruloid hemangioma
9120/0	Related	Spindle cell hemangioma
9120/0	Related	Hobnail hemangioma
9120/3	Preferred	Hemangiosarcoma
9120/3	Synonym	Angiosarcoma
9121/0	Preferred	Cavernous hemangioma
9122/0	Preferred	Venous hemangioma
9123/0	Preferred	Racemose hemangioma
9123/0	Synonym	Arteriovenous hemangioma
9124/3	Preferred	Kupffer cell sarcoma
9125/0	Preferred	Epithelioid hemangioma
9125/0	Synonym	Histiocytoid hemangioma
9125/0	Related	Cutaneous epithelioid angiomatoid nodule
9126/0	Preferred	Atypical vascular lesion
9130/0	Preferred	Hemangioendothelioma, benign
9130/1	Preferred	Hemangioendothelioma, NOS
9130/1	Synonym	Angioendothelioma
9130/1	Related	Kaposiform hemangioendothelioma
9130/3	Preferred	Hemangioendothelioma, malignant
9130/3	Synonym	Hemangioendothelial sarcoma
9131/0	Preferred	Capillary hemangioma
9131/0	Synonym	Hemangioma simplex
9131/0	Synonym	Infantile hemangioma
9131/0	Synonym	Juvenile hemangioma
9131/0	Synonym	Plexiform hemangioma
9131/0	Related	Lobular capillary hemangioma
9131/0	Related	Congenital hemangioma, NOS
9131/0	Related	Congenital hemangioma, rapidly involuting
9131/0	Related	Congenital hemangioma, non-involuting
9132/0	Preferred	Intramuscular hemangioma
9132/0	Synonym	Intramuscular angioma
9133/3	Preferred	Epithelioid hemangioendothelioma, NOS
9133/3	Synonym	Epithelioid hemangioendothelioma, malignant
9133/3	Related	Intravascular bronchial alveolar tumor
9135/1	Preferred	Papillary intralymphatic angioendothelioma
9135/1	Synonym	Endovascular papillary angioendothelioma
9135/1	Synonym	Dabska tumor
9136/1	Preferred	Spindle cell hemangioendothelioma
9136/1	Synonym	Spindle cell angioendothelioma
9136/1	Related	Retiform hemangioendothelioma
9136/1	Related	Composite hemangioendothelioma
9137/0	Preferred	Myointimoma
9137/3	Preferred	Intimal sarcoma
9138/1	Preferred	Pseudomyogenic (epithelioid sarcoma-like) hemangioendothelioma
9140/3	Preferred	Kaposi sarcoma
9140/3	Synonym	Multiple hemorrhagic sarcoma
9141/0	Preferred	Angiokeratoma
9142/0	Preferred	Verrucous keratotic hemangioma
9142/0	Synonym	Verrucous venous malformation
9160/0	Preferred	Angiofibroma, NOS
9160/0	Synonym	Fibrous papule of nose
9160/0	Synonym	Involuting nevus
9160/0	Synonym	Juvenile angiofibroma
9160/0	Related	Cellular angiofibroma
9160/0	Related	Giant cell angiofibroma
9161/0	Preferred	Acquired tufted hemangioma
9161/0	Synonym	Tufted hemangioma
9161/1	Preferred	Hemangioblastoma
9161/1	Synonym	Angioblastoma
917	2	Lymphatic vessel tumors
9170/0	Preferred	Lymphangioma, NOS
9170/0	Synonym	Lymphangioendothelioma, NOS
9170/3	Preferred	Lymphangiosarcoma
9170/3	Synonym	Lymphangioendothelial sarcoma
9170/3	Synonym	Lymphangioendothelioma, malignant
9171/0	Preferred	Capillary lymphangioma
9172/0	Preferred	Cavernous lymphangioma
9173/0	Preferred	Cystic lymphangioma
9173/0	Synonym	Hygroma, NOS
9173/0	Synonym	Cystic hygroma
9174/0	Preferred	Lymphangiomyoma
9174/1	Preferred	Lymphangioleiomyomatosis
9174/1	Synonym	Lymphangiomyomatosis
9175/0	Preferred	Hemolymphangioma
918-924	2	Osseous and chondromatous neoplasms
9180/0	Preferred	Osteoma, NOS
9180/3	Preferred	Osteosarcoma, NOS
9180/3	Synonym	Osteogenic sarcoma, NOS
9180/3	Synonym	Osteoblastic sarcoma
9180/3	Synonym	Osteochondrosarcoma
9180/3	Related	Osteosarcoma, extraskeletal
9181/3	Preferred	Chondroblastic osteosarcoma
9182/3	Preferred	Fibroblastic osteosarcoma
9182/3	Synonym	Osteofibrosarcoma
9183/3	Preferred	Telangiectatic osteosarcoma
9184/3	Preferred	Osteosarcoma in Paget disease of bone
9184/3	Synonym	Secondary osteosarcoma
9185/3	Preferred	Small cell osteosarcoma
9185/3	Synonym	Round cell osteosarcoma
9186/3	Preferred	Central osteosarcoma, NOS
9186/3	Synonym	Conventional central osteosarcoma
9186/3	Synonym	Medullary osteosarcoma
9187/3	Preferred	Low grade central osteosarcoma
9187/3	Synonym	Low grade intramedullary osteosarcoma
9187/3	Related	Intraosseous well differentiated osteosarcoma
9187/3	Synonym	Intraosseous low grade osteosarcoma
9191/0	Preferred	Osteoid osteoma, NOS
9192/3	Preferred	Parosteal osteosarcoma
9192/3	Synonym	Juxtacortical osteosarcoma
9193/3	Preferred	Periosteal osteosarcoma
9194/3	Preferred	High grade surface osteosarcoma
9195/3	Preferred	Intracortical osteosarcoma
9200/0	Preferred	Osteoblastoma, NOS
9200/0	Synonym	Giant osteoid osteoma
9200/1	Preferred	Aggressive osteoblastoma
9210/0	Preferred	Osteochondroma
9210/0	Synonym	Cartilaginous exostosis
9210/0	Synonym	Ecchondroma
9210/0	Synonym	Osteocartilaginous exostosis
9210/1	Preferred	Osteochondromatosis, NOS
9210/1	Synonym	Ecchondrosis
9211/0	Preferred	Osteochondromyxoma
9212/0	Preferred	Bizarre parosteal osteochondromatous proliferation
9213/0	Preferred	Subungual exostosis
9220/0	Preferred	Chondroma, NOS
9220/0	Related	Enchondroma
9220/1	Preferred	Chondromatosis, NOS
9220/3	Preferred	Chondrosarcoma, NOS
9220/3	Related	Fibrochondrosarcoma
9220/3	Related	Chondrosarcoma, grade 2
9220/3	Related	Chondrosarcoma, grade 3
9221/0	Preferred	Periosteal chondroma
9221/0	Related	Juxtacortical chondroma
9221/3	Preferred	Periosteal chondrosarcoma
9221/3	Related	Juxtacortical chondrosarcoma
9222/1	Preferred	Atypical cartilaginous tumor
9222/1	Synonym	Chondrosarcoma, grade 1
9230/1	Preferred	Chondroblastoma, NOS
9230/1	Synonym	Chondromatous giant cell tumor
9230/1	Synonym	Codman tumor
9230/3	Preferred	Chondroblastoma, malignant
9231/3	Preferred	Myxoid chondrosarcoma
9240/3	Preferred	Mesenchymal chondrosarcoma
9241/0	Preferred	Chondromyxoid fibroma
9242/3	Preferred	Clear cell chondrosarcoma
9243/3	Preferred	Dedifferentiated chondrosarcoma
925	2	Giant cell tumors
9250/1	Preferred	Giant cell tumor of bone, NOS
9250/1	Synonym	Osteoclastoma, NOS
9250/3	Preferred	Giant cell tumor of bone, malignant
9250/3	Synonym	Giant cell sarcoma of bone
9250/3	Synonym	Osteoclastoma, malignant
9251/1	Preferred	Giant cell tumor of soft parts, NOS
9251/3	Preferred	Malignant giant cell tumor of soft parts
9252/0	Preferred	Tenosynovial giant cell tumor, NOS
9252/0	Related	Tenosynovial giant cell tumor, localised
9252/0	Synonym	Fibrous histiocytoma of tendon sheath
9252/0	Synonym	Giant cell tumor of tendon sheath, NOS
9252/1	Preferred	Tenosynovial giant cell tumor, diffuse
9252/1	Synonym	Pigmented villonodular synovitis
9252/3	Preferred	Malignant tenosynovial giant cell tumor
9252/3	Synonym	Giant cell tumor of tendon sheath, malignant
926	2	Miscellaneous bone tumors
9260/0	Preferred	Aneurysmal bone cyst
9261/3	Preferred	Adamantinoma of long bones
9262/0	Preferred	Ossifying fibroma
9262/0	Synonym	Fibro-osteoma
9262/0	Synonym	Osteofibroma
927-934	2	Odontogenic tumors
9270/0	Preferred	Odontogenic tumor, benign
9270/1	Preferred	Odontogenic tumor, NOS
9270/3	Preferred	Odontogenic tumor, malignant
9270/3	Synonym	Ameloblastic carcinoma
9270/3	Synonym	Odontogenic carcinoma
9270/3	Synonym	Odontogenic sarcoma
9270/3	Synonym	Primary intraosseous carcinoma
9271/0	Preferred	Ameloblastic fibrodentinoma
9271/0	Synonym	Dentinoma
9272/0	Preferred	Cementoma, NOS
9272/0	Synonym	Periapical cemental dysplasia
9272/0	Synonym	Periapical cemento-osseous dysplasia
9273/0	Preferred	Cementoblastoma, benign
9274/0	Preferred	Cemento-ossifying fibroma
9274/0	Related	Cementifying fibroma
9275/0	Preferred	Gigantiform cementoma
9275/0	Synonym	Florid osseous dysplasia
9280/0	Preferred	Odontoma, NOS
9281/0	Preferred	Compound odontoma
9282/0	Preferred	Complex odontoma
9290/0	Preferred	Ameloblastic fibro-odontoma
9290/0	Synonym	Fibroameloblastic odontoma
9290/3	Preferred	Ameloblastic odontosarcoma
9290/3	Synonym	Ameloblastic fibro-odontosarcoma
9290/3	Synonym	Ameloblastic fibrodentinosarcoma
9300/0	Preferred	Adenomatoid odontogenic tumor
9300/0	Synonym	Adenoameloblastoma
9301/0	Preferred	Calcifying odontogenic cyst
9302/0	Preferred	Dentinogenic ghost cell tumor
9302/0	Synonym	Odontogenic ghost cell tumor
9302/3	Preferred	Ghost cell odontogenic carcinoma
9310/0	Preferred	Ameloblastoma, NOS
9310/0	Synonym	Adamantinoma, NOS (except of long bones M-9261/3)
9310/3	Preferred	Ameloblastoma, metastasizing
9310/3	Synonym	Ameloblastoma, malignant
9310/3	Synonym	Adamantinoma, malignant (except of long bones M-9261/3)
9311/0	Preferred	Odontoameloblastoma
9312/0	Preferred	Squamous odontogenic tumor
9320/0	Preferred	Odontogenic myxoma
9320/0	Synonym	Odontogenic myxofibroma
9321/0	Preferred	Odontogenic fibroma, NOS
9321/0	Synonym	Central odontogenic fibroma
9322/0	Preferred	Peripheral odontogenic fibroma
9330/0	Preferred	Ameloblastic fibroma
9330/3	Preferred	Ameloblastic fibrosarcoma
9330/3	Synonym	Ameloblastic sarcoma
9330/3	Synonym	Odontogenic fibrosarcoma
9340/0	Preferred	Calcifying epithelial odontogenic tumor
9340/0	Synonym	Pindborg tumor
9341/3	Preferred	Clear cell odontogenic carcinoma
9341/3	Synonym	Clear cell odontogenic tumor
9342/3	Preferred	Odontogenic carcinosarcoma
935-937	2	Miscellaneous tumors
9350/1	Preferred	Craniopharyngioma, NOS
9350/1	Synonym	Rathke pouch tumor
9351/1	Preferred	Craniopharyngioma, adamantinomatous
9352/1	Preferred	Craniopharyngioma, papillary
9360/1	Preferred	Pinealoma
9361/1	Preferred	Pineocytoma
9362/3	Preferred	Pineoblastoma
9362/3	Related	Mixed pineal tumor
9362/3	Synonym	Mixed pineocytoma-pineoblastoma
9362/3	Related	Pineal parenchymal tumor of intermediate differentiation
9362/3	Related	Transitional pineal tumor
9363/0	Preferred	Melanotic neuroectodermal tumor
9363/0	Synonym	Melanoameloblastoma
9363/0	Synonym	Melanotic progonoma
9363/0	Synonym	Retinal anlage tumor
9364/3	Preferred	Ewing sarcoma
9364/3	Synonym	Ewing tumor
9364/3	Synonym	Peripheral neuroectodermal tumor
9364/3	Related	Neuroectodermal tumor, NOS
9364/3	Related	Peripheral primitive neuroectodermal tumor
9364/3	Synonym	PPNET
9365/3	Preferred	Askin tumor
9370/0	Preferred	Benign notochordal cell tumor
9370/3	Preferred	Chordoma, NOS
9371/3	Preferred	Chondroid chordoma
9372/3	Preferred	Dedifferentiated chordoma
9373/0	Preferred	Parachordoma
938-948	2	Gliomas
9380/3	Preferred	Glioma, malignant
9380/3	Synonym	Glioma, NOS (except nasal glioma: not neoplastic)
9381/3	Preferred	Gliomatosis cerebri
9382/3	Preferred	Oligoastrocytoma, NOS
9382/3	Synonym	Mixed glioma
9382/3	Synonym	Anaplastic oligoastrocytoma
9383/1	Preferred	Subependymoma
9383/1	Synonym	Subependymal astrocytoma, NOS
9383/1	Synonym	Subependymal glioma
9383/1	Related	Mixed subependymoma-ependymoma
9384/1	Preferred	Subependymal giant cell astrocytoma
9385/3	Preferred	Diffuse midline glioma, H3 K27M-mutant
9385/3	Related	Diffuse intrinsic pontine glioma, H3 K27M-mutant
9390/0	Preferred	Choroid plexus papilloma, NOS
9390/1	Preferred	Atypical choroid plexus papilloma
9390/3	Preferred	Choroid plexus carcinoma
9390/3	Synonym	Choroid plexus papilloma, anaplastic
9390/3	Synonym	Choroid plexus papilloma, malignant
9391/1	Preferred	Sellar ependymoma
9391/3	Preferred	Ependymoma, NOS
9391/3	Synonym	Epithelial ependymoma
9391/3	Related	Cellular ependymoma
9391/3	Related	Clear cell ependymoma
9391/3	Related	Tanycytic ependymoma
9392/3	Preferred	Ependymoma, anaplastic
9392/3	Synonym	Ependymoblastoma
9393/3	Preferred	Papillary ependymoma
9394/1	Preferred	Myxopapillary ependymoma
9395/3	Preferred	Papillary tumor of pineal region
9396/3	Preferred	Ependymoma, RELA fusion positive
9400/3	Preferred	Astrocytoma, NOS
9400/3	Synonym	Astrocytic glioma
9400/3	Synonym	Astroglioma
9400/3	Related	Astrocytoma, low grade
9400/3	Related	Cystic astrocytoma
9400/3	Related	Diffuse astrocytoma, NOS
9400/3	Related	Diffuse astrocytoma, low grade
9400/3	Related	Diffuse astrocytoma, IDH-mutant
9400/3	Related	Diffuse astrocytoma, IDH-wildtype
9401/3	Preferred	Astrocytoma, anaplastic, NOS
9401/3	Related	Astrocytoma, anaplastic, IDH-mutant
9401/3	Related	Astrocytoma, anaplastic, IDH-wildtype
9410/3	Preferred	Protoplasmic astrocytoma
9411/3	Preferred	Gemistocytic astrocytoma, NOS
9411/3	Synonym	Gemistocytic astrocytoma, IDH-mutant
9411/3	Synonym	Gemistocytoma
9412/1	Preferred	Desmoplastic infantile astrocytoma
9412/1	Related	Desmoplastic infantile ganglioglioma
9413/0	Preferred	Dysembryoplastic neuroepithelial tumor
9420/3	Preferred	Fibrillary astrocytoma
9420/3	Synonym	Fibrous astrocytoma
9421/1	Preferred	Pilocytic astrocytoma
9421/1	Synonym	Spongioblastoma, NOS
9421/1	Synonym	Juvenile astrocytoma
9421/1	Synonym	Piloid astrocytoma
9423/3	Preferred	Polar spongioblastoma
9423/3	Synonym	Primitive polar spongioblastoma
9423/3	Synonym	Spongioblastoma polare
9424/3	Preferred	Pleomorphic xanthoastrocytoma, NOS
9424/3	Related	Anaplastic pleomorphic xanthoastrocytoma
9425/3	Preferred	Pilomyxoid astrocytoma
9430/3	Preferred	Astroblastoma
9431/1	Preferred	Angiocentric glioma
9432/1	Preferred	Pituicytoma
9440/3	Preferred	Glioblastoma, NOS
9440/3	Related	Epithelioid glioblastoma
9440/3	Related	Glioblastoma, IDH-wildtype
9440/3	Related	Glioblastoma, primary, NOS
9440/3	Synonym	Glioblastoma multiforme
9440/3	Synonym	Spongioblastoma multiforme
9440/3	Related	Diffuse midline glioma, NOS (see also M-9385/3)
9440/3	Related	Diffuse intrinsic pontine glioma (see also M-9385/3)
9441/3	Preferred	Giant cell glioblastoma
9441/3	Synonym	Monstrocellular sarcoma
9442/1	Preferred	Gliofibroma
9442/3	Preferred	Gliosarcoma
9442/3	Synonym	Glioblastoma with sarcomatous component
9444/1	Preferred	Chordoid glioma
9444/1	Related	Chordoid glioma of third ventricle
9445/3	Preferred	Glioblastoma, IDH-mutant
9445/3	Synonym	Glioblastoma, secondary, IDH-mutant
9445/3	Related	Glioblastoma, secondary, NOS
9450/3	Preferred	Oligodendroglioma, NOS
9450/3	Related	Oligodendroglioma, IDH-mutant and 1p/19q-codeleted
9451/3	Preferred	Oligodendroglioma, anaplastic, NOS
9451/3	Related	Oligodendroglioma, anaplastic, IDH-mutant and 1p/19q codeleted
9460/3	Preferred	Oligodendroblastoma
9470/3	Preferred	Medulloblastoma, NOS
9470/3	Related	Classic medulloblastoma
9470/3	Related	Melanotic medulloblastoma
9471/3	Preferred	Desmoplastic nodular medulloblastoma
9471/3	Synonym	Circumscribed arachnoidal cerebellar sarcoma
9471/3	Synonym	Desmoplastic medulloblastoma, NOS
9471/3	Related	Medulloblastoma with extensive nodularity
9471/3	Related	Medulloblastoma, SHH-activated and TP53-wildtype
9471/3	Related	Medulloblastoma, SHH activated, NOS
9472/3	Preferred	Medullomyoblastoma
9473/3	Preferred	CNS embryonal tumor, NOS
9473/3	Synonym	Primitive neuroectodermal tumor, NOS
9473/3	Synonym	PNET, NOS
9473/3	Related	Central primitive neuroectodermal tumor
9473/3	Synonym	CPNET
9473/3	Related	Supratentorial PNET
9474/3	Preferred	Large cell medulloblastoma
9474/3	Related	Anaplastic medulloblastoma
9475/3	Preferred	Medulloblastoma, WNT-activated, NOS
9475/3	Related	Medulloblastoma, WNT-activated, classic
9475/3	Related	Medulloblastoma, WNT-activated, large cell type
9475/3	Related	Medulloblastoma, WNT-activated, anaplastic type
9476/3	Preferred	Medulloblastoma, SHH-activated and TP53-mutant
9477/3	Preferred	Medulloblastoma, non-WNT/non-SHH
9477/3	Related	Medulloblastoma, group 3
9477/3	Related	Medulloblastoma, group 4
9478/3	Preferred	Embryonal tumor with multilayered rosettes with C19MC alteration
9478/3	Related	Embryonal tumor with multilayered rosettes, NOS
9480/3	Preferred	Cerebellar sarcoma, NOS
949-952	2	Neuroepitheliomatous neoplasms
9490/0	Preferred	Ganglioneuroma
9490/3	Preferred	Ganglioneuroblastoma
9490/3	Related	CNS ganglioneuroblastoma
9491/0	Preferred	Ganglioneuromatosis
9492/0	Preferred	Gangliocytoma, NOS
9493/0	Preferred	Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)
9500/3	Preferred	Neuroblastoma, NOS
9500/3	Synonym	Central neuroblastoma
9500/3	Synonym	CNS neuroblastoma
9500/3	Synonym	Sympathicoblastoma
9501/0	Preferred	Medulloepithelioma, benign
9501/0	Synonym	Diktyoma, benign
9501/3	Preferred	Medulloepithelioma, NOS
9501/3	Synonym	Diktyoma, malignant
9502/0	Preferred	Teratoid medulloepithelioma, benign
9502/3	Preferred	Teratoid medulloepithelioma, NOS
9503/3	Preferred	Neuroepithelioma, NOS
9504/3	Preferred	Spongioneuroblastoma
9505/1	Preferred	Ganglioglioma, NOS
9505/1	Synonym	Glioneuroma
9505/1	Synonym	Neuroastrocytoma
9505/3	Preferred	Ganglioglioma, anaplastic
9506/1	Preferred	Central neurocytoma
9506/1	Synonym	Neurocytoma, NOS
9506/1	Related	Cerebellar liponeurocytoma
9506/1	Synonym	Lipomatous medulloblastoma
9506/1	Synonym	Medullocytoma
9506/1	Synonym	Neurolipocytoma
9506/1	Related	Extraventricular neurocytoma
9507/0	Preferred	Pacinian tumor
9508/3	Preferred	Atypical teratoid/rhabdoid tumor
9508/3	Related	CNS embryonal tumor with rhabdoid features
9509/1	Preferred	Papillary glioneuronal tumor
9509/1	Related	Rosette-forming glioneuronal tumor
9510/0	Preferred	Retinocytoma
9510/3	Preferred	Retinoblastoma, NOS
9511/3	Preferred	Retinoblastoma, differentiated
9512/3	Preferred	Retinoblastoma, undifferentiated
9513/3	Preferred	Retinoblastoma, diffuse
9514/1	Preferred	Retinoblastoma, spontaneously regressed
9520/3	Preferred	Olfactory neurogenic tumor
9521/3	Preferred	Olfactory neurocytoma
9521/3	Synonym	Esthesioneurocytoma
9522/3	Preferred	Olfactory neuroblastoma
9522/3	Synonym	Esthesioneuroblastoma
9523/3	Preferred	Olfactory neuroepithelioma
9523/3	Synonym	Esthesioneuroepithelioma
953	2	Meningiomas
9530/0	Preferred	Meningioma, NOS
9530/0	Related	Lymphoplasmacyte-rich meningioma
9530/0	Related	Metaplastic meningioma
9530/0	Related	Microcystic meningioma
9530/0	Related	Secretory meningioma
9530/3	Preferred	Meningioma, malignant
9530/3	Synonym	Leptomeningeal sarcoma
9530/3	Synonym	Meningeal sarcoma
9530/3	Synonym	Meningioma, anaplastic
9530/3	Synonym	Meningothelial sarcoma
9531/0	Preferred	Meningothelial meningioma
9531/0	Synonym	Endotheliomatous meningioma
9531/0	Synonym	Syncytial meningioma
9532/0	Preferred	Fibrous meningioma
9532/0	Synonym	Fibroblastic meningioma
9533/0	Preferred	Psammomatous meningioma
9534/0	Preferred	Angiomatous meningioma
9535/0	Preferred	Hemangioblastic meningioma
9535/0	Synonym	Angioblastic meningioma
9537/0	Preferred	Transitional meningioma
9537/0	Synonym	Mixed meningioma
9538/1	Preferred	Clear cell meningioma
9538/1	Related	Chordoid meningioma
9538/3	Preferred	Papillary meningioma
